partidos
09-01-2023 İstanbulspor 1 - 1 Gaziantep BBK
15-01-2023 Gaziantep BBK 1 - 2 Fenerbahce
22-01-2023 Gaziantep BBK 1 - 2 Sivasspor
28-01-2023 Ankaragucu 0 - 2 Gaziantep BBK
01-02-2023 Gaziantep BBK 4 - 1 Hatayspor
04-02-2023 Antalyaspor 1 - 0 Gaziantep BBK
07-08-2022 Giresunspor 2 - 3 Adana Demirspor
13-08-2022 Galatasaray 0 - 1 Giresunspor
20-08-2022 Giresunspor 1 - 0 Kasimpasa
28-08-2022 Kayserispor 3 - 0 Giresunspor
03-09-2022 Giresunspor 0 - 1 Konyaspor
10-09-2022 Fatih Karagümrük 1 - 1 Giresunspor
02-10-2022 Alanyaspor 1 - 1 Giresunspor
08-10-2022 Giresunspor 0 - 1 Besiktas
17-10-2022 Sivasspor 3 - 0 Giresunspor
24-10-2022 Giresunspor 1 - 1 Ankaragucu
31-10-2022 Buyuksehyr 3 - 1 Giresunspor
05-11-2022 Giresunspor 3 - 2 İstanbulspor
12-11-2022 Fenerbahce 1 - 2 Giresunspor
24-12-2022 Hatayspor 1 - 1 Giresunspor
29-12-2022 Giresunspor 2 - 1 Gaziantep BBK
05-01-2023 Trabzonspor 3 - 0 Giresunspor
08-01-2023 Giresunspor 0 - 1 Ümraniyespor
14-01-2023 Antalyaspor 2 - 2 Giresunspor
20-01-2023 Adana Demirspor 1 - 1 Giresunspor
28-01-2023 Giresunspor 0 - 4 Galatasaray
01-02-2023 Kasimpasa 5 - 1 Giresunspor
12-08-2022 Trabzonspor 1 - 0 Hatayspor
20-08-2022 Hatayspor 1 - 2 Gaziantep BBK
28-08-2022 Kasimpasa 1 - 0 Hatayspor
04-09-2022 Hatayspor 1 - 1 Adana Demirspor
10-09-2022 Konyaspor 1 - 0 Hatayspor
16-09-2022 Hatayspor 0 - 4 Kayserispor
02-10-2022 Sivasspor 1 - 2 Hatayspor
09-10-2022 Hatayspor 1 - 0 Alanyaspor
15-10-2022 Fatih Karagümrük 3 - 0 Hatayspor
24-10-2022 Hatayspor 2 - 1 Besiktas
30-10-2022 Ankaragucu 4 - 1 Hatayspor
07-11-2022 Hatayspor 3 - 3 Buyuksehyr
13-11-2022 İstanbulspor 0 - 1 Hatayspor
24-12-2022 Hatayspor 1 - 1 Giresunspor
27-12-2022 Fenerbahce 4 - 0 Hatayspor
03-01-2023 Ümraniyespor 2 - 2 Hatayspor
07-01-2023 Hatayspor 0 - 0 Antalyaspor
13-01-2023 Galatasaray 4 - 0 Hatayspor
28-01-2023 Hatayspor 2 - 1 Trabzonspor
01-02-2023 Gaziantep BBK 4 - 1 Hatayspor
05-02-2023 Hatayspor 1 - 0 Kasimpasa
08-08-2022 Buyuksehyr 4 - 0 Kasimpasa
15-08-2022 Kasimpasa 0 - 6 Fenerbahce
20-08-2022 Giresunspor 1 - 0 Kasimpasa
28-08-2022 Kasimpasa 1 - 0 Hatayspor
04-09-2022 Antalyaspor 0 - 2 Kasimpasa
11-09-2022 Kasimpasa 2 - 3 Galatasaray
17-09-2022 Ümraniyespor 1 - 2 Kasimpasa
01-10-2022 Kasimpasa 1 - 0 Gaziantep BBK
10-10-2022 Trabzonspor 0 - 0 Kasimpasa
15-10-2022 Kasimpasa 1 - 4 Adana Demirspor
23-10-2022 Kasimpasa 0 - 1 Kayserispor
29-10-2022 Konyaspor 1 - 1 Kasimpasa
04-11-2022 Kasimpasa 1 - 1 Ankaragucu
24-12-2022 Kasimpasa 1 - 2 Sivasspor
28-12-2022 İstanbulspor 2 - 1 Kasimpasa
